raspberry (raspbian9.13)
========================
Total: 475 (High:73 Medium:290 Low:49 ?:63), 3/475 Fixed, 574 installed, 6 exploits, 0 modules, en: 12, ja: 4 alerts

+---------------------+------+--------+-----+---------------+---------+---------------------------------------------------+
|       CVE-ID        | CVSS | ATTACK | POC |     CERT      |  FIXED  |                        NVD                        |
| CVE-2018-1000168    |  7.5 |  AV:N  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-1000168 |
| CVE-2018-11813      |  7.5 |  AV:N  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-11813   |
| CVE-2018-12697      |  7.5 |  AV:N  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-12697   |
| CVE-2018-12698      |  7.5 |  AV:N  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-12698   |
| CVE-2018-12700      |  7.5 |  AV:N  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-12700   |
| CVE-2018-12934      |  7.5 |  AV:N  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-12934   |
| CVE-2018-16881      |  7.5 |  AV:N  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-16881   |
| CVE-2018-20796      |  7.5 |  AV:N  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-20796   |
| CVE-2018-5709       |  7.5 |  AV:N  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-5709    |
| CVE-2018-5764       |  7.5 |  AV:N  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-5764    |
| CVE-2018-6594       |  7.5 |  AV:N  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-6594    |
| CVE-2018-6829       |  7.5 |  AV:N  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-6829    |
| CVE-2018-6951       |  7.5 |  AV:N  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-6951    |
| CVE-2018-6952       |  7.5 |  AV:N  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-6952    |
| CVE-2018-9234       |  7.5 |  AV:N  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-9234    |
| CVE-2019-11324      |  7.5 |  AV:N  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-11324   |
| CVE-2019-12761      |  7.5 |  AV:N  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-12761   |
| CVE-2019-18808      |  7.5 |  AV:N  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-18808   |
